District,Avg_SegA_Growth,Avg_SegB_Growth,Avg_Continuation_Ratio,Senior_Collapse_Schools,Segment_Health
AGRA,2.51,33.55,26.08,26,Weak
ALIGARH,-4.42,22.77,47.61,14,Weak
AMBEDKAR NAGAR,59.77,112.35,35.18,17,Weak
AMETHI - CSM NAGAR,25.26,51.57,41.84,15,Weak
AURAIYA,35.76,-3.68,20.22,11,Weak
AZAMGARH,10.29,-11.96,31.28,15,Weak
BAGHPAT,15.51,12.76,32.47,13,Weak
BAHRAICH,17.19,95.56,18.83,41,Weak
BALLIA,3.24,113.56,28.06,22,Weak
BALRAMPUR,10.4,59.36,10.48,18,Weak
BANDA,9.03,113.85,33.09,29,Weak
BARABANKI,-9.79,24.1,48.24,21,Weak
BAREILLY,33.84,139.42,38.08,38,Weak
BASTI,31.01,-0.9,27.83,16,Weak
BHADOI,41.25,103.66,15.94,33,Weak
BIJNOR,4.21,37.13,48.73,14,Weak
BUDAUN,21.45,110.71,36.65,22,Weak
BULANDSHAHR,61.33,139.85,34.82,30,Weak
CHANDAULI,36.07,26.01,14.49,22,Weak
CHITRAKOOT,9.52,27.19,16.25,22,Weak
DEORIA,24.05,89.59,35.62,14,Weak
ETAH,21.93,215.62,44.3,11,Weak
ETAWAH,8.73,-1.39,54.29,11,Weak
FAIZABAD,38.31,100.16,48.41,14,Weak
FARRUKHABAD,3.57,11.29,46.15,3,Moderate
FATEHPUR,20.72,53.05,22.99,34,Weak
FIROZABAD,7.83,6.31,18.51,17,Weak
GAUTAM BUDDHA NAGAR,13.91,7.4,56.2,3,Moderate
GHAZIABAD,8.96,7.92,36.28,7,Weak
GHAZIPUR,49.61,180.15,46.84,16,Weak
GONDA,13.8,19.89,16.3,21,Weak
GORAKHPUR,11.47,1.4,34.49,16,Weak
HAMIRPUR (U.P.),38.4,37.37,45.24,17,Weak
HAPUR (PANCHSHEEL NAGAR),37.5,31.98,42.31,6,Weak
HARDOI,36.81,95.44,17.61,45,Weak
HATHRAS,21.26,207.03,13.07,18,Weak
JALAUN,5.06,37.69,41.23,15,Weak
JAUNPUR,17.7,74.34,11.49,28,Weak
JHANSI,-7.83,-3.97,50.19,21,Weak
JYOTIBA PHULE NAGAR (AMROHA),30.27,81.73,34.22,12,Weak
KANNAUJ,37.93,69.32,25.88,13,Weak
KANPUR DEHAT,51.01,45.75,27.28,14,Weak
KANPUR NAGAR,-8.69,10.45,37.25,13,Weak
KANSHIRAM NAGAR,128.6,106.56,42.65,6,Weak
KAUSHAMBI,64.1,1290.94,14.34,19,Weak
KHERI,13.51,2.19,18.54,41,Weak
KUSHINAGAR,30.83,71.48,20.01,15,Weak
LALITPUR,-9.47,-4.88,19.04,31,Weak
LUCKNOW,-1.95,37.09,35.57,35,Weak
MAHARAJGANJ,33.89,25.74,17.68,23,Weak
MAHOBA,8.55,85.07,43.86,20,Weak
MAINPURI,-0.21,130.9,49.78,12,Weak
MATHURA,28.43,104.55,30.09,23,Weak
MAU,52.32,0.53,29.85,12,Weak
MEERUT,15.47,82.28,36.25,32,Weak
MIRZAPUR,30.69,10.59,9.33,54,Weak
MORADABAD,5.76,-5.41,33.82,30,Weak
MUZAFFARNAGAR,7.59,107.71,60.84,22,Weak
PILIBHIT,3.26,20.06,40.6,18,Weak
PRATAPGARH,31.04,126.57,36.07,24,Weak
PRAYAGRAJ,23.21,17.31,43.49,17,Weak
RAE BARELI,6.0,25.6,47.9,19,Weak
RAMPUR,36.71,88.31,70.69,9,Weak
SAHARANPUR,13.13,52.79,34.32,38,Weak
SAMBHAL (BHIM NAGAR),27.87,57.91,38.74,5,Weak
SANT KABIR NAGAR,25.16,3.69,8.17,17,Weak
SHAHJAHANPUR,12.52,44.2,18.97,41,Weak
SHAMLI (PRABUDH NAGAR),23.76,26.02,53.22,8,Weak
SHRAWASTI,64.24,301.9,11.82,24,Weak
SIDDHARTHNAGAR,21.2,87.26,20.85,19,Weak
SITAPUR,66.12,159.26,31.38,36,Weak
SONBHADRA,543.18,81.38,23.42,32,Weak
SULTANPUR,13.86,24.82,28.32,16,Weak
UNNAO,9.55,34.31,33.5,26,Weak
VARANASI,16.11,-3.52,24.1,22,Weak
