school_id,school_name,district,block,School_Type,Enroll_2223,Enroll_2526,Overall_Growth_pct,Primary_Reason
9611400703,R.U.M.V. ETAILY,AZAMGARH,HARRAIYA,Senior_Secondary,181.0,28,-84.53,Social/Gender Barrier
9360207306,ABHINAV VIDAHAYALA KURAITHA ,JHANSI,BAMORE,Middle_to_Higher,62.0,12,-80.65,Higher Education Transition Issue
9630204904,RAJKIY UPS JUDANPUR,BALLIA,NAGARA,Senior_Secondary,35.0,7,-80.0,Social/Gender Barrier
9440112201,RAJKIYA H.S.S PINDARA SAHAWANPUR,KAUSHAMBI,MANJHANPUR,Senior_Secondary,56.0,14,-75.0,Social/Gender Barrier
9180905706,G.U.M. VID CHANDIKARA,MAINPURI,BARNAHAL,Senior_Secondary,68.0,20,-70.59,Higher Education Transition Issue
9031014203,RAJKIYA HIGH SCHOOL  JATTIWALA,BIJNOR,NAJIBABAD,Senior_Secondary,101.0,30,-70.3,Social/Gender Barrier
9251104105,R.U.M.V. BILHARI,HARDOI,SHAHABAD,Senior_Secondary,132.0,41,-68.94,Social/Gender Barrier
9690405306,"SAMAJWADI ABHINAV VIDYALAYA, BHOJPUR PAHARI",MIRZAPUR,PAHARI,Secondary_Only,65.0,23,-64.62,Higher Education Transition Issue
9471101610,G . G . H . S . SCHOOL,FAIZABAD,TARUN,Middle_to_Secondary,62.0,23,-62.9,Undetermined
9730104402,RAJKIY HIGH SCHOOL RANIGANJ,AMETHI - CSM NAGAR,JAGDISHPUR,Senior_Secondary,62.0,23,-62.9,Higher Education Transition Issue
9630608702,PT Deendayal Upadhyay Rajkiya Model Inter College Sudhauli Pandah ballia,BALLIA,PANDAH,Middle_to_Higher,194.0,72,-62.89,Economic/Child Labour
9710510803,GOVT. HIGH SCHOOL NAGARDAH,BHADOI,DEEGH,Senior_Secondary,37.0,14,-62.16,Social/Gender Barrier
9380201604,GOVT HSS TERHA,HAMIRPUR (U.P.),SUMERPUR,Senior_Secondary,69.0,27,-60.87,Higher Education Transition Issue
9191603004,PT. DEENDAYAL UPADHAY GOVT. MODEL INTER COLLEGE NOORPUR,BUDAUN,BISAULI,Middle_to_Higher,585.0,234,-60.0,Migration/Population Shift
9050211003,GOVT HSS AHRO BILASHPUR,RAMPUR,BILASPUR,Senior_Secondary,88.0,36,-59.09,Higher Education Transition Issue
9600503804,R .UMV RAMPUR MAHUARI,DEORIA,PATTHRDEVA,Senior_Secondary,114.0,47,-58.77,Higher Education Transition Issue
9370504108,GHS PATHA,LALITPUR,MAHRONI,Senior_Secondary,87.0,36,-58.62,Social/Gender Barrier
9620703908,GOVT BALIKA INTER COLL MUJAR BUJURG,MAU,BADRAW,Middle_to_Secondary,53.0,22,-58.49,Higher Education Transition Issue
9120504604,RAJKEYA KANYA INTER COLLEGE DUTTA CHOLI,ALIGARH,BIJAULI,Middle_to_Secondary,116.0,49,-57.76,Higher Education Transition Issue
9350301408,GOVT. HSS CHHAUNK,JALAUN,KADAURA,Senior_Secondary,95.0,41,-56.84,Higher Education Transition Issue
