school_id,school_name,district,block,School_Type,Enroll_2223,Enroll_2526,Overall_Growth_pct,Trend_Tag
9700808127,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE MEDARDAH,SONBHADRA,MYORPUR,Middle_to_Higher,1.0,345,34400.0,Consistent Growth
9700504511,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE RAMGARH,SONBHADRA,CHATRA,Middle_to_Higher,10.0,567,5570.0,Consistent Growth
9240800811,RAJKIYA INTER COLLEGE GANESHPUR NEVADA LAHARPUR,SITAPUR,LAHARPUR,Middle_to_Higher,17.0,413,2329.41,Consistent Growth
9720406208,GOVERNMENT HIGHSCHOOL KADARGANJ KHAM,KANSHIRAM NAGAR,GANJ DUNDWARA,Senior_Secondary,5.0,64,1180.0,Consistent Growth
9480802223,PT. D.D.U. GOVT. MODAL INTER COLLEGE RAMNAGAR,AMBEDKAR NAGAR,RAMNAGAR,Middle_to_Higher,60.0,557,828.33,Consistent Growth
9111101003,PT DEENDAYAL UPADHYAY GOVT MODEL INTER COLLEGE AHIRAULI,BULANDSHAHR,KHURJA,Middle_to_Higher,18.0,160,788.89,Consistent Growth
9050613601,GOVT INTER COLLEGE MOHAMMADPUR SHUMALI,RAMPUR,SAID NAGAR,Middle_to_Higher,14.0,109,678.57,Consistent Growth
9252400106,RAJKIYE INTER COLLEGE BEGAMGANJ SANDILA,HARDOI,TN.AR. SANDILA,Middle_to_Higher,85.0,607,614.12,Consistent Growth
9200700603,GOVT. INTER COLLEGE TURSA PATTI FATEHGANJ W,BAREILLY,FATEHGANJ,Middle_to_Higher,28.0,191,582.14,Consistent Growth
9440305205,PANDIT DEEN DAYAL UPADHAYAY RAJKIY MADAL INTER COLLEGE DEVKHARPUR,KAUSHAMBI,SIRATHU,Middle_to_Higher,85.0,579,581.18,Consistent Growth
9570607909,RAJKIY INTER COLLEGE NAUNIYA,MAHARAJGANJ,NICHLOUL,Middle_to_Higher,33.0,218,560.61,Consistent Growth
9450509801,RAJKIYA KANYA U.M.V. JEWANIYA,PRAYAGRAJ,MEJA,Secondary_Only,22.0,142,545.45,Recovery
9020104012,GOVT INTER COLLEGE BAHADARPUR,MUZAFFARNAGAR,SADAR,Middle_to_Higher,31.0,199,541.94,Consistent Growth
9541016708,RAJKIYA U M V DHOBHA,SIDDHARTHNAGAR,KHUNIYANV,Senior_Secondary,12.0,76,533.33,Consistent Growth
9620704305,PT DEENDAYAL UPADHYAY RAJKIY MODEL INTER COLLEGE KATIHARI MAU,MAU,BADRAW,Middle_to_Higher,43.0,263,511.63,Consistent Growth
9050703909,GOVT ORIENTAL COLLEGE RAMPUR,RAMPUR,TOWN AREA RAMPUR,Full_School,1.0,6,500.0,Volatile
9241500806,RAJKIYA BALIKA INTER COLLEGE MAHMDAPUR PISAWAN,SITAPUR,PISAWAN,Middle_to_Higher,18.0,108,500.0,Consistent Growth
9650102009,GOVT.G.I.C.DILDARNAGAR,GHAZIPUR,BHADAURA,Middle_to_Higher,36.0,215,497.22,Consistent Growth
9241012202,GOVT INTER COLLEGE LAILKHURD MAHMUDABAD,SITAPUR,MAHMOODABAD,Middle_to_Higher,28.0,166,492.86,Consistent Growth
9730306605,PANDIT DEENDAYAL U RAJKIYE MODAL INTER COLLEGE,AMETHI - CSM NAGAR,MUSAFIRKHANA,Middle_to_Higher,33.0,194,487.88,Consistent Growth
