school_id,school_name,district,block,School_Type,Risk_Score,Risk_Level,Overall_Growth_pct,Active_Alerts
9690405306,"SAMAJWADI ABHINAV VIDYALAYA, BHOJPUR PAHARI",MIRZAPUR,PAHARI,Secondary_Only,13,HIGH RISK,-64.62,4-YEAR ENROLLMENT DECLINE; CONTINUITY COLLAPSE; ENROLLMENT CRASH; GIRLS ENROLLMENT DROP; MICRO SCHOOL; MULTI-RISK ENROLLMENT
9360207306,ABHINAV VIDAHAYALA KURAITHA ,JHANSI,BAMORE,Middle_to_Higher,13,HIGH RISK,-80.65,4-YEAR ENROLLMENT DECLINE; CONTINUITY COLLAPSE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MICRO SCHOOL; MULTI-RISK ENROLLMENT
9611400703,R.U.M.V. ETAILY,AZAMGARH,HARRAIYA,Senior_Secondary,11,HIGH RISK,-84.53,4-YEAR ENROLLMENT DECLINE; MULTI-RISK ENROLLMENT
9220307603,G.H.S. CHAURASI,SHAHJAHANPUR,JALALABAD,Senior_Secondary,11,HIGH RISK,-43.33,4-YEAR ENROLLMENT DECLINE; MULTI-RISK ENROLLMENT
9050211003,GOVT HSS AHRO BILASHPUR,RAMPUR,BILASPUR,Senior_Secondary,11,HIGH RISK,-59.09,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MULTI-RISK ENROLLMENT
9580104003,GOVT. HIGH SCHOOL KOLHUI PIPRAULI,GORAKHPUR,PIPRAULI,Senior_Secondary,11,HIGH RISK,-40.38,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MULTI-RISK ENROLLMENT
9380201604,GOVT HSS TERHA,HAMIRPUR (U.P.),SUMERPUR,Senior_Secondary,11,HIGH RISK,-60.87,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MULTI-RISK ENROLLMENT
9600503804,R .UMV RAMPUR MAHUARI,DEORIA,PATTHRDEVA,Senior_Secondary,11,HIGH RISK,-58.77,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MULTI-RISK ENROLLMENT
9251706507,GOVT. H.S.S. RAHULA BILGRAM,HARDOI,BILGRAM,Senior_Secondary,11,HIGH RISK,-54.05,4-YEAR ENROLLMENT DECLINE; ENROLLMENT DECLINE; MICRO SCHOOL; MULTI-RISK ENROLLMENT
9251104105,R.U.M.V. BILHARI,HARDOI,SHAHABAD,Senior_Secondary,11,HIGH RISK,-68.94,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MULTI-RISK ENROLLMENT
9630204904,RAJKIY UPS JUDANPUR,BALLIA,NAGARA,Senior_Secondary,11,HIGH RISK,-80.0,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MICRO SCHOOL; MULTI-RISK ENROLLMENT
9630604004,RAJKIYA UPS EKAIL,BALLIA,PANDAH,Senior_Secondary,11,HIGH RISK,-37.04,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MULTI-RISK ENROLLMENT
9612106802,GOVT GIRLS I.C.  ASHWANIYA,AZAMGARH,THEKMA,Senior_Secondary,11,HIGH RISK,-47.69,4-YEAR ENROLLMENT DECLINE; MULTI-RISK ENROLLMENT
9140803903,GOVT HIGH SCHOOL LOHAGARH,MATHURA,RAYA,Senior_Secondary,11,HIGH RISK,-51.85,4-YEAR ENROLLMENT DECLINE; GIRLS ENROLLMENT CRASH; MULTI-RISK ENROLLMENT
9390410504,GOVT HIGH SCHOOL SILALPURA,MAHOBA,PANWARI,Senior_Secondary,11,HIGH RISK,-51.11,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MICRO SCHOOL; MULTI-RISK ENROLLMENT
9370504108,GHS PATHA,LALITPUR,MAHRONI,Senior_Secondary,11,HIGH RISK,-58.62,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT CRASH; MULTI-RISK ENROLLMENT
9180905706,G.U.M. VID CHANDIKARA,MAINPURI,BARNAHAL,Senior_Secondary,11,HIGH RISK,-70.59,4-YEAR ENROLLMENT DECLINE; ENROLLMENT CRASH; GIRLS ENROLLMENT DROP; MICRO SCHOOL; MULTI-RISK ENROLLMENT
9141004008,GOVT HIGH SCHOOL AKOS,MATHURA,BALDEO,Senior_Secondary,11,HIGH RISK,-29.41,4-YEAR ENROLLMENT DECLINE; MULTI-RISK ENROLLMENT
9030703406,RAJKIYA HIGHSCHOOL PADALA,BIJNOR,KIRATPUR,Senior_Secondary,11,HIGH RISK,-46.74,4-YEAR ENROLLMENT DECLINE; ENROLLMENT DECLINE; GIRLS ENROLLMENT DROP; MULTI-RISK ENROLLMENT
9350301408,GOVT. HSS CHHAUNK,JALAUN,KADAURA,Senior_Secondary,11,HIGH RISK,-56.84,4-YEAR ENROLLMENT DECLINE; ENROLLMENT DECLINE; GIRLS ENROLLMENT DROP; MULTI-RISK ENROLLMENT
